,focal_habitat,sis_habitat,focal_metabolism,sis_metabolism
Flavobacteriale_jump31,NA,NA|NA,NA,NA|NA
Flavobacteriale_jump32,NA|host,NA|NA,NA|aerobic,NA|NA
Flavobacteriale_jump33,NA|NA,host|host,NA|NA,aerobic|NA
Flavobacteriale_jump34,NA,host,microaerophilic,aerobic
Flavobacteriale_jump35,NA,NA|NA|NA|NA|NA|NA,NA,NA|NA|NA|NA|NA|NA
Flavobacteriale_jump36,NA,host|host|NA|NA|NA|NA|sediment|NA|NA|water|NA|water|host|NA|NA|host|sediment|NA|host|water|NA|sediment|sediment|host|host|sediment|water,NA,obligate aerobic|obligate aerobic|NA|NA|NA|NA|facultative|NA|NA|aerobic|NA|aerobic|aerobic|NA|NA|obligate aerobic|aerobic|NA|aerobic|obligate aerobic|aerobic|aerobic|obligate aerobic|NA|aerobic|aerobic|aerobic
Flavobacteriale_jump37,water,NA,aerobic,NA
Flavobacteriale_jump38,water,host,aerobic,obligate aerobic
Flavobacteriale_jump39,NA,host|NA|NA|NA|NA|sediment|NA|NA,NA,obligate aerobic|NA|NA|NA|NA|facultative|NA|NA
Flavobacteriale_jump40,water,host,obligate aerobic,obligate aerobic
Flavobacteriale_jump41,water,NA|NA|sediment|NA|NA,obligate aerobic,NA|NA|facultative|NA|NA
Flavobacteriale_jump42,NA,water|host|NA,NA,aerobic|aerobic|NA
Flavobacteriale_jump43,host,NA,obligate aerobic,NA
Flavobacteriale_jump44,NA|NA|water|water|NA|sediment,host,NA|NA|obligate aerobic|aerobic|NA|NA,obligate aerobic
Flavobacteriale_jump45,NA,water,NA,aerobic
Flavobacteriale_jump46,NA,NA,NA,NA
Flavobacteriale_jump47,sediment,NA|sediment|water,obligate aerobic,aerobic|NA|obligate aerobic
Flavobacteriale_jump48,host,host|NA|host|NA|host,anaerobic,facultative|NA|NA|NA|facultative
Flavobacteriale_jump49,water,host|NA|host|NA|NA|NA|NA|water|soil|NA|NA|NA|NA|biofilm|NA|NA|bioreactor/digester|host|sediment|NA|water|NA|NA|NA|water|host|water|water|NA|NA|soil|soil|NA|NA|host|NA|NA|sludge|NA|NA|NA|water|NA|NA|water|host|water|host|host|water|water|water|water|host|NA|soil|NA|soil|soil|biofilm|NA|NA|NA|NA|NA|NA|wastewater|NA,obligate aerobic,aerobic|NA|aerobic|NA|NA|NA|NA|aerobic|aerobic|aerobic|NA|NA|NA|aerobic|NA|NA|obligate aerobic|NA|aerobic|NA|aerobic|NA|NA|facultative|aerobic|aerobic|NA|aerobic|NA|NA|aerobic|aerobic|NA|NA|facultative|NA|NA|facultative|NA|NA|aerobic|aerobic|aerobic|NA|obligate aerobic|NA|aerobic|aerobic|aerobic|NA|aerobic|NA|NA|facultative|NA|obligate aerobic|NA|aerobic|aerobic|aerobic|NA|aerobic|NA|NA|NA|NA|aerobic|NA
Flavobacteriale_jump50,sediment,NA,obligate aerobic,NA
Flavobacteriale_jump51,NA,host,NA,aerobic
Flavobacteriale_jump52,NA|NA,NA|soil|soil|biofilm,NA|NA,NA|aerobic|aerobic|aerobic
Flavobacteriale_jump53,NA,NA,NA,NA
Flavobacteriale_jump54,soil|soil|sediment|sediment|sediment|NA|host|water|water|sediment,water|NA|NA|NA|soil|wastewater|NA|NA|water|NA|NA|NA|NA|wastewater|soil|host|host,aerobic|aerobic|obligate aerobic|aerobic|aerobic|NA|aerobic|obligate aerobic|aerobic|NA,aerobic|NA|NA|NA|obligate aerobic|facultative|NA|NA|aerobic|NA|aerobic|NA|NA|obligate aerobic|obligate aerobic|aerobic|aerobic
Flavobacteriale_jump55,host,host|water|water,aerobic,aerobic|obligate aerobic|aerobic
Flavobacteriale_jump56,NA,sediment,NA,NA
Flavobacteriale_jump57,NA|NA,NA,NA|NA,NA
Flavobacteriale_jump58,NA,NA|NA,NA,NA|NA
Flavobacteriale_jump59,sediment,NA|NA|NA|NA|water|water,obligate aerobic,NA|NA|aerobic|aerobic|aerobic|aerobic
Flavobacteriale_jump60,NA|soil|soil,biofilm|water|NA|sediment|NA|NA|NA|NA|NA|NA|sediment|NA|water|sediment|host|water|NA,NA|obligate aerobic|facultative,aerobic|NA|NA|obligate aerobic|NA|aerobic|aerobic|aerobic|NA|NA|obligate aerobic|NA|NA|obligate aerobic|aerobic|aerobic|NA
Flavobacteriale_jump61,NA,NA|NA|NA|NA,NA,aerobic|aerobic|NA|NA
Flavobacteriale_jump62,NA,water|sediment|host|water|NA,NA,NA|obligate aerobic|aerobic|aerobic|NA
Flavobacteriale_jump63,host,water,obligate aerobic,aerobic
Flavobacteriale_jump64,NA|sediment|NA,water|water|NA,NA|aerobic|NA,obligate aerobic|aerobic|aerobic
Flavobacteriale_jump65,NA|NA,water|biofilm|NA|NA|NA|water|water|NA|NA|water|water|NA|NA|sediment|NA|NA|water|NA|NA,NA|NA,NA|obligate aerobic|NA|NA|NA|aerobic|obligate aerobic|aerobic|NA|NA|aerobic|NA|NA|obligate aerobic|NA|NA|aerobic|NA|NA
Flavobacteriale_jump66,sediment,NA,obligate aerobic,NA
Flavobacteriale_jump67,NA,NA,NA,NA
Flavobacteriale_jump68,NA,NA,NA,NA
Flavobacteriale_jump69,NA,NA|NA|host|water|host|water|water|NA|NA|NA|NA|NA,NA,NA|NA|NA|NA|NA|obligate aerobic|aerobic|NA|NA|facultative|aerobic|NA
Flavobacteriale_jump70,NA|water,NA|NA,NA|aerobic,NA|facultative
Flavobacteriale_jump71,NA,host|NA|water,NA,NA|aerobic|aerobic
Flavobacteriale_jump72,NA|NA,NA,NA|NA,NA
Flavobacteriale_jump73,NA,NA|NA,NA,NA|NA
